Company Name,Exchange:Ticker,Industry Group,Primary Sector,SIC Code,Country,Broad Group
"Tapestry, Inc. (NYSE:TPR)",NYSE:TPR,Apparel,Consumer Discretionary,3100,United States,United States
"ToughBuilt Industries, Inc. (NasdaqCM:TBLT)",NasdaqCM:TBLT,Apparel,Consumer Discretionary,3420,United States,United States
"Under Armour, Inc. (NYSE:UAA)",NYSE:UAA,Apparel,Consumer Discretionary,2300,United States,United States
"Unifi, Inc. (NYSE:UFI)",NYSE:UFI,Apparel,Consumer Discretionary,2200,United States,United States
V.F. Corporation (NYSE:VFC),NYSE:VFC,Apparel,Consumer Discretionary,2300,United States,United States
"Vera Bradley, Inc. (NasdaqGS:VRA)",NasdaqGS:VRA,Apparel,Consumer Discretionary,3100,United States,United States
Vince Holding Corp. (NYSE:VNCE),NYSE:VNCE,Apparel,Consumer Discretionary,2300,United States,United States
Zalemark Holding Company Inc. (OTCPK:ZMRK),OTCPK:ZMRK,Apparel,Consumer Discretionary,3911,United States,United States
"APT MotoVox Group, Inc. (OTCPK:MTVX)",OTCPK:MTVX,Auto & Truck,Consumer Discretionary,3714,United States,United States
"Arcimoto, Inc. (NasdaqGM:FUV)",NasdaqGM:FUV,Auto & Truck,Consumer Discretionary,3711,United States,United States
"Ayro, Inc. (NasdaqCM:AYRO)",NasdaqCM:AYRO,Auto & Truck,Consumer Discretionary,3711,United States,United States
Canoo Inc. (NasdaqCM:GOEV),NasdaqCM:GOEV,Auto & Truck,Consumer Discretionary,3711,United States,United States
"Carroll Shelby International, Inc. (OTCPK:CSBI)",OTCPK:CSBI,Auto & Truck,Consumer Discretionary,3711,United States,United States
Cenntro Electric Group Limited (NasdaqCM:CENN),NasdaqCM:CENN,Auto & Truck,Consumer Discretionary,3711,United States,United States
"Curtiss Motorcycles Company, Inc. (OTCPK:CMOT)",OTCPK:CMOT,Auto & Truck,Consumer Discretionary,3751,United States,United States
CVF Technologies Corporation (OTCPK:CNVT),OTCPK:CNVT,Auto & Truck,Consumer Discretionary,3711,United States,United States
"Electric Last Mile Solutions, Inc. (OTCPK:ELMS.Q)",OTCPK:ELMS.Q,Auto & Truck,Consumer Discretionary,3711,United States,United States
Elektros Inc. (OTCPK:ELEK),OTCPK:ELEK,Auto & Truck,Consumer Discretionary,3711,United States,United States
"Elio Motors, Inc. (OTCPK:ELIO)",OTCPK:ELIO,Auto & Truck,Consumer Discretionary,3711,United States,United States
"Envirotech Vehicles, Inc. (NasdaqCM:EVTV)",NasdaqCM:EVTV,Auto & Truck,Consumer Discretionary,3711,United States,United States
Faraday Future Intelligent Electric Inc. (NasdaqCM:FFIE),NasdaqCM:FFIE,Auto & Truck,Consumer Discretionary,3711,United States,United States
Fisker Inc. (NYSE:FSR),NYSE:FSR,Auto & Truck,Consumer Discretionary,3710,United States,United States
Ford Motor Company (NYSE:F),NYSE:F,Auto & Truck,Consumer Discretionary,3711,United States,United States
General Motors Company (NYSE:GM),NYSE:GM,Auto & Truck,Consumer Discretionary,3711,United States,United States
"Genesis Electronics Group, Inc. (OTCPK:GEGI)",OTCPK:GEGI,Auto & Truck,Consumer Discretionary,3711,United States,United States
"Harley-Davidson, Inc. (NYSE:HOG)",NYSE:HOG,Auto & Truck,Consumer Discretionary,3751,United States,United States
Life Electric Vehicles Holdings Inc. (OTCPK:LFEV),OTCPK:LFEV,Auto & Truck,Consumer Discretionary,6159,United States,United States
"LiveWire Group, Inc. (NYSE:LVWR)",NYSE:LVWR,Auto & Truck,Consumer Discretionary,3751,United States,United States
Lordstown Motors Corp. (OTCPK:RIDE.Q),OTCPK:RIDE.Q,Auto & Truck,Consumer Discretionary,3711,United States,United States
"Lucid Group, Inc. (NasdaqGS:LCID)",NasdaqGS:LCID,Auto & Truck,Consumer Discretionary,3711,United States,United States
"Mullen Automotive, Inc. (NasdaqCM:MULN)",NasdaqCM:MULN,Auto & Truck,Consumer Discretionary,3711,United States,United States
Phoenix Motor Inc. (NasdaqCM:PEV),NasdaqCM:PEV,Auto & Truck,Consumer Discretionary,3711,United States,United States
"Recreatives Industries, Inc. (OTCPK:RECX)",OTCPK:RECX,Auto & Truck,Consumer Discretionary,3790,United States,United States
"Rivian Automotive, Inc. (NasdaqGS:RIVN)",NasdaqGS:RIVN,Auto & Truck,Consumer Discretionary,3711,United States,United States
"Rodedawg International Industries, Inc. (OTCPK:RWGI)",OTCPK:RWGI,Auto & Truck,Consumer Discretionary,3714,United States,United States
RONN Inc. (OTCPK:RONN),OTCPK:RONN,Auto & Truck,Consumer Discretionary,3711,United States,United States
